subject,stim_set,number_training_image_order_index,number_training_images,exclude_participant,trial_index,current_training_images,current_training_label,name_check,shuffled_sampling_images,current_category_label_level,current_category_kind,current_category_training_level,sampled_image,sampled_label,sampled_imagename,sampled_imagelabel,sampled_category_kind_short,sampled_category_kind,sampled_category_level,within_category_sample,within_category_sample_f,sampled_category_level_kind_info,trial_number,sampling_choice_type,chance_consistent,name_check_edited,levenshtein_distance
p986293,0,1,1,0,36,"[""stims/fru_c1_sub1.jpg""]",tibble,tibble,"[""stims/fru_c1_sup3.jpg"",""stims/fru_c1_sub4.jpg"",""stims/veh_c3_sup4.jpg"",""stims/fru_c1_bas3.jpg""]",intermediate,fruit,intermediate,stims/fru_c1_sup3.jpg,not a tibble,fru_c1_sup3.jpg,fru_c1_sup3,fru,fruit,sup,1,within-category,sup,5,explore,0.25,tibble,0
p986293,0,1,1,0,43,"[""stims/sea_c2_sub1.jpg""]",sibu,sibu,"[""stims/fru_c1_sup4.jpg"",""stims/sea_c2_sup3.jpg"",""stims/sea_c2_sub4.jpg"",""stims/sea_c2_bas3.jpg""]",broad,sea,broad,stims/sea_c2_bas3.jpg,sibu,sea_c2_bas3.jpg,sea_c2_bas3,sea,sea,bas,1,within-category,bas,6,explore,0.25,sibu,0
p714976,1,1,3,0,8,"[""stims/fru_c1_sub1.jpg"",""stims/fru_c1_sub2.jpg"",""stims/fru_c1_sub3.jpg""]",roozer,roozer,"[""stims/fru_c1_bas3.jpg"",""stims/sea_c2_sup4.jpg"",""stims/fru_c1_sup3.jpg"",""stims/fru_c1_sub4.jpg""]",narrow,fruit,narrow,stims/fru_c1_sub4.jpg,roozer,fru_c1_sub4.jpg,fru_c1_sub4,fru,fruit,sub,1,within-category,sub,1,confirm,0.25,roozer,0
p714976,1,1,3,0,15,"[""stims/sea_c2_sub1.jpg"",""stims/sea_c2_bas1.jpg"",""stims/sea_c2_bas2.jpg""]",beppo,beppo,"[""stims/sea_c2_sub4.jpg"",""stims/sea_c2_sup3.jpg"",""stims/veh_c3_sup4.jpg"",""stims/sea_c2_bas3.jpg""]",intermediate,sea,intermediate,stims/sea_c2_sub4.jpg,beppo,sea_c2_sub4.jpg,sea_c2_sub4,sea,sea,sub,1,within-category,sub,2,confirm,0.5,beppo,0
p714976,1,1,3,0,22,"[""stims/veh_c3_sub1.jpg"",""stims/veh_c3_sup1.jpg"",""stims/veh_c3_sup2.jpg""]",sibu,sibu,"[""stims/veh_c3_sup3.jpg"",""stims/fru_c1_sup4.jpg"",""stims/veh_c3_sub4.jpg"",""stims/veh_c3_bas3.jpg""]",hypernym,vehicles,broad,stims/veh_c3_sub4.jpg,sibu,veh_c3_sub4.jpg,veh_c3_sub4,veh,vehicles,sub,1,within-category,sub,3,confirm,0.75,sibu,0
p714976,1,1,1,0,29,"[""stims/veg_c1_sub1.jpg""]",tibble,tibble,"[""stims/veg_c1_sup3.jpg"",""stims/ani_c3_sup4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veg_c1_sub4.jpg""]",intermediate,vegetables,intermediate,stims/veg_c1_sub4.jpg,tibble,veg_c1_sub4.jpg,veg_c1_sub4,veg,vegetables,sub,1,within-category,sub,4,confirm,0.25,tibble,0
p714976,1,1,1,0,36,"[""stims/spo_c2_sub1.jpg""]",guffy,guffy,"[""stims/spo_c2_bas3.jpg"",""stims/spo_c2_sup3.jpg"",""stims/veg_c1_sup4.jpg"",""stims/spo_c2_sub4.jpg""]",intermediate,sports,narrow,stims/spo_c2_sub4.jpg,guffy,spo_c2_sub4.jpg,spo_c2_sub4,spo,sports,sub,1,within-category,sub,5,confirm,0.25,guffy,0
p714976,1,1,1,0,43,"[""stims/ani_c3_sub1.jpg""]",kita,kita,"[""stims/ani_c3_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/spo_c2_sup4.jpg""]",hypernym,animals,broad,stims/ani_c3_sub4.jpg,kita,ani_c3_sub4.jpg,ani_c3_sub4,ani,animals,sub,1,within-category,sub,6,confirm,0.25,kita,0
p869873,0,1,3,0,8,"[""stims/spo_c2_sub1.jpg"",""stims/spo_c2_sup1.jpg"",""stims/spo_c2_sup2.jpg""]",beppo,beppo,"[""stims/spo_c2_sub4.jpg"",""stims/spo_c2_bas3.jpg"",""stims/veg_c1_sup4.jpg"",""stims/spo_c2_sup3.jpg""]",broad,sports,broad,stims/spo_c2_sub4.jpg,beppo,spo_c2_sub4.jpg,spo_c2_sub4,spo,sports,sub,1,within-category,sub,1,confirm,0.75,beppo,0
p869873,0,1,3,0,15,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_bas1.jpg"",""stims/ani_c3_bas2.jpg""]",tibble,tibble,"[""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/spo_c2_sup4.jpg""]",intermediate,animals,intermediate,stims/ani_c3_bas3.jpg,tibble,ani_c3_bas3.jpg,ani_c3_bas3,ani,animals,bas,1,within-category,bas,2,confirm,0.5,tibble,0
p869873,0,1,3,0,22,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sub2.jpg"",""stims/veg_c1_sub3.jpg""]",roozer,roozer,"[""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sup4.jpg"",""stims/veg_c1_bas3.jpg""]",narrow,vegetables,narrow,stims/veg_c1_sup3.jpg,not a roozer,veg_c1_sup3.jpg,veg_c1_sup3,veg,vegetables,sup,1,within-category,sup,3,explore,0.25,roozer,0
p869873,0,1,1,0,29,"[""stims/veh_c3_sub1.jpg""]",sibu,sibu,"[""stims/veh_c3_bas3.jpg"",""stims/veh_c3_sub4.jpg"",""stims/sea_c2_sup4.jpg"",""stims/veh_c3_sup3.jpg""]",intermediate,vehicles,narrow,stims/veh_c3_bas3.jpg,sibu,veh_c3_bas3.jpg,veh_c3_bas3,veh,vehicles,bas,1,within-category,bas,4,explore,0.25,sibu,0
p869873,0,1,1,0,36,"[""stims/sea_c2_sub1.jpg""]",kita,kita,"[""stims/sea_c2_bas3.jpg"",""stims/sea_c2_sup3.jpg"",""stims/sea_c2_sub4.jpg"",""stims/fru_c1_sup4.jpg""]",intermediate,sea,intermediate,stims/sea_c2_sup3.jpg,not a kita,sea_c2_sup3.jpg,sea_c2_sup3,sea,sea,sup,1,within-category,sup,5,explore,0.25,kita,0
p869873,0,1,1,0,43,"[""stims/fru_c1_sub1.jpg""]",guffy,guffy,"[""stims/veh_c3_sup4.jpg"",""stims/fru_c1_bas3.jpg"",""stims/fru_c1_sub4.jpg"",""stims/fru_c1_sup3.jpg""]",broad,fruit,broad,stims/fru_c1_sup3.jpg,guffy,fru_c1_sup3.jpg,fru_c1_sup3,fru,fruit,sup,1,within-category,sup,6,explore,0.25,guffy,0
p483313,0,0,1,0,8,"[""stims/veg_c1_sub1.jpg""]",kita,kita,"[""stims/veg_c1_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/spo_c2_sup4.jpg""]",broad,vegetables,intermediate,stims/veg_c1_bas3.jpg,kita,veg_c1_bas3.jpg,veg_c1_bas3,veg,vegetables,bas,1,within-category,bas,1,explore,0.25,kita,0
p483313,0,0,1,0,15,"[""stims/spo_c2_sub1.jpg""]",tibble,tibble,"[""stims/ani_c3_sup4.jpg"",""stims/spo_c2_sup3.jpg"",""stims/spo_c2_sub4.jpg"",""stims/spo_c2_bas3.jpg""]",narrow,sports,narrow,stims/spo_c2_bas3.jpg,not a tibble,spo_c2_bas3.jpg,spo_c2_bas3,spo,sports,bas,1,within-category,bas,2,explore,0.25,tibble,0
p483313,0,0,1,0,22,"[""stims/ani_c3_sub1.jpg""]",sibu,sibu,"[""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sup4.jpg""]",hypernym,animals,broad,stims/ani_c3_bas3.jpg,sibu,ani_c3_bas3.jpg,ani_c3_bas3,ani,animals,bas,1,within-category,bas,3,explore,0.25,sibu,0
p483313,0,0,3,0,29,"[""stims/veh_c3_sub1.jpg"",""stims/veh_c3_bas1.jpg"",""stims/veh_c3_bas2.jpg""]",guffy,guffy,"[""stims/veh_c3_sub4.jpg"",""stims/veh_c3_bas3.jpg"",""stims/veh_c3_sup3.jpg"",""stims/sea_c2_sup4.jpg""]",intermediate,vehicles,intermediate,stims/veh_c3_sup3.jpg,not a guffy,veh_c3_sup3.jpg,veh_c3_sup3,veh,vehicles,sup,1,within-category,sup,4,explore,0.5,guffy,0
p483313,0,0,3,0,36,"[""stims/fru_c1_sub1.jpg"",""stims/fru_c1_sup1.jpg"",""stims/fru_c1_sup2.jpg""]",roozer,roozer,"[""stims/fru_c1_sup3.jpg"",""stims/veh_c3_sup4.jpg"",""stims/fru_c1_bas3.jpg"",""stims/fru_c1_sub4.jpg""]",broad,fruit,broad,stims/fru_c1_sup3.jpg,roozer,fru_c1_sup3.jpg,fru_c1_sup3,fru,fruit,sup,1,within-category,sup,5,confirm,0.75,roozer,0
p483313,0,0,3,0,43,"[""stims/sea_c2_sub1.jpg"",""stims/sea_c2_sub2.jpg"",""stims/sea_c2_sub3.jpg""]",beppo,beppo,"[""stims/sea_c2_bas3.jpg"",""stims/sea_c2_sub4.jpg"",""stims/sea_c2_sup3.jpg"",""stims/fru_c1_sup4.jpg""]",intermediate,sea,narrow,stims/sea_c2_bas3.jpg,beppo,sea_c2_bas3.jpg,sea_c2_bas3,sea,sea,bas,1,within-category,bas,6,explore,0.25,beppo,0
p664550,1,1,3,0,8,"[""stims/sea_c2_sub1.jpg"",""stims/sea_c2_sup1.jpg"",""stims/sea_c2_sup2.jpg""]",guffy,guffy,"[""stims/sea_c2_sub4.jpg"",""stims/sea_c2_bas3.jpg"",""stims/veh_c3_sup4.jpg"",""stims/sea_c2_sup3.jpg""]",hypernym,sea,broad,stims/veh_c3_sup4.jpg,guffy,veh_c3_sup4.jpg,veh_c3_sup4,veh,vehicles,sup,0,other-category,outside_category,1,explore,0.75,guffy,0
p664550,1,1,3,0,15,"[""stims/veh_c3_sub1.jpg"",""stims/veh_c3_sub2.jpg"",""stims/veh_c3_sub3.jpg""]",roozer,roozer,"[""stims/veh_c3_sub4.jpg"",""stims/veh_c3_sup3.jpg"",""stims/fru_c1_sup4.jpg"",""stims/veh_c3_bas3.jpg""]",intermediate,vehicles,narrow,stims/veh_c3_sub4.jpg,roozer,veh_c3_sub4.jpg,veh_c3_sub4,veh,vehicles,sub,1,within-category,sub,2,confirm,0.25,roozer,0
p664550,1,1,3,0,22,"[""stims/fru_c1_sub1.jpg"",""stims/fru_c1_bas1.jpg"",""stims/fru_c1_bas2.jpg""]",kita,kita,"[""stims/sea_c2_sup4.jpg"",""stims/fru_c1_bas3.jpg"",""stims/fru_c1_sup3.jpg"",""stims/fru_c1_sub4.jpg""]",broad,fruit,intermediate,stims/fru_c1_bas3.jpg,kita,fru_c1_bas3.jpg,fru_c1_bas3,fru,fruit,bas,1,within-category,bas,3,confirm,0.5,kita,0
p664550,1,1,1,0,29,"[""stims/ani_c3_sub1.jpg""]",sibu,sibu,"[""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/spo_c2_sup4.jpg"",""stims/ani_c3_sup3.jpg""]",intermediate,animals,narrow,stims/ani_c3_sub4.jpg,sibu,ani_c3_sub4.jpg,ani_c3_sub4,ani,animals,sub,1,within-category,sub,4,confirm,0.25,sibu,0
p664550,1,1,1,0,36,"[""stims/spo_c2_sub1.jpg""]",tibble,tibble,"[""stims/veg_c1_sup4.jpg"",""stims/spo_c2_sup3.jpg"",""stims/spo_c2_bas3.jpg"",""stims/spo_c2_sub4.jpg""]",hypernym,sports,broad,stims/spo_c2_sub4.jpg,tibble,spo_c2_sub4.jpg,spo_c2_sub4,spo,sports,sub,1,within-category,sub,5,confirm,0.25,tibble,0
p664550,1,1,1,0,43,"[""stims/veg_c1_sub1.jpg""]",beppo,beppo,"[""stims/veg_c1_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_sup4.jpg""]",broad,vegetables,intermediate,stims/veg_c1_sub4.jpg,beppo,veg_c1_sub4.jpg,veg_c1_sub4,veg,vegetables,sub,1,within-category,sub,6,confirm,0.25,beppo,0
p533693,1,1,3,0,8,"[""stims/veh_c3_sub1.jpg"",""stims/veh_c3_sub2.jpg"",""stims/veh_c3_sub3.jpg""]",roozer,ROOZER,"[""stims/veh_c3_sub4.jpg"",""stims/veh_c3_bas3.jpg"",""stims/veh_c3_sup3.jpg"",""stims/fru_c1_sup4.jpg""]",intermediate,vehicles,narrow,stims/fru_c1_sup4.jpg,not a roozer,fru_c1_sup4.jpg,fru_c1_sup4,fru,fruit,sup,0,other-category,outside_category,1,explore,0.25,roozer,0
p533693,1,1,3,0,15,"[""stims/sea_c2_sub1.jpg"",""stims/sea_c2_sup1.jpg"",""stims/sea_c2_sup2.jpg""]",tibble,tibble,"[""stims/sea_c2_bas3.jpg"",""stims/veh_c3_sup4.jpg"",""stims/sea_c2_sub4.jpg"",""stims/sea_c2_sup3.jpg""]",broad,sea,broad,stims/sea_c2_sub4.jpg,tibble,sea_c2_sub4.jpg,sea_c2_sub4,sea,sea,sub,1,within-category,sub,2,confirm,0.75,tibble,0
p533693,1,1,3,0,22,"[""stims/fru_c1_sub1.jpg"",""stims/fru_c1_bas1.jpg"",""stims/fru_c1_bas2.jpg""]",sibu,sibu,"[""stims/fru_c1_sup3.jpg"",""stims/fru_c1_bas3.jpg"",""stims/sea_c2_sup4.jpg"",""stims/fru_c1_sub4.jpg""]",broad,fruit,intermediate,stims/fru_c1_bas3.jpg,sibu,fru_c1_bas3.jpg,fru_c1_bas3,fru,fruit,bas,1,within-category,bas,3,confirm,0.5,sibu,0
p533693,1,1,1,0,29,"[""stims/veg_c1_sub1.jpg""]",guffy,guffi,"[""stims/veg_c1_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/spo_c2_sup4.jpg""]",intermediate,vegetables,narrow,stims/veg_c1_bas3.jpg,guffy,veg_c1_bas3.jpg,veg_c1_bas3,veg,vegetables,bas,1,within-category,bas,4,explore,0.25,guffi,1
p533693,1,1,1,0,36,"[""stims/ani_c3_sub1.jpg""]",beppo,beppo,"[""stims/veg_c1_sup4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg""]",broad,animals,broad,stims/ani_c3_sub4.jpg,beppo,ani_c3_sub4.jpg,ani_c3_sub4,ani,animals,sub,1,within-category,sub,5,confirm,0.25,beppo,0
p533693,1,1,1,0,43,"[""stims/spo_c2_sub1.jpg""]",kita,kita,"[""stims/spo_c2_bas3.jpg"",""stims/spo_c2_sup3.jpg"",""stims/ani_c3_sup4.jpg"",""stims/spo_c2_sub4.jpg""]",intermediate,sports,intermediate,stims/spo_c2_sub4.jpg,kita,spo_c2_sub4.jpg,spo_c2_sub4,spo,sports,sub,1,within-category,sub,6,confirm,0.25,kita,0
p973831,0,0,1,1,8,"[""stims/ani_c3_sub1.jpg""]",guffy,GUFFY,"[""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sup4.jpg""]",narrow,animals,narrow,stims/veg_c1_sup4.jpg,not a guffy,veg_c1_sup4.jpg,veg_c1_sup4,veg,vegetables,sup,0,other-category,outside_category,1,explore,0.25,guffy,0
p973831,0,0,1,1,15,"[""stims/veg_c1_sub1.jpg""]",roozer,HOT,"[""stims/veg_c1_sup3.jpg"",""stims/spo_c2_sup4.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_bas3.jpg""]",broad,vegetables,broad,stims/veg_c1_bas3.jpg,roozer,veg_c1_bas3.jpg,veg_c1_bas3,veg,vegetables,bas,1,within-category,bas,2,explore,0.25,hot,5
p973831,0,0,1,1,22,"[""stims/spo_c2_sub1.jpg""]",tibble,BASKETBALL,"[""stims/spo_c2_sup3.jpg"",""stims/spo_c2_bas3.jpg"",""stims/spo_c2_sub4.jpg"",""stims/ani_c3_sup4.jpg""]",intermediate,sports,intermediate,stims/spo_c2_sub4.jpg,tibble,spo_c2_sub4.jpg,spo_c2_sub4,spo,sports,sub,1,within-category,sub,3,confirm,0.25,basketball,8
p973831,0,0,3,1,29,"[""stims/veh_c3_sub1.jpg"",""stims/veh_c3_sup1.jpg"",""stims/veh_c3_sup2.jpg""]",sibu,SIBU,"[""stims/veh_c3_sup3.jpg"",""stims/veh_c3_bas3.jpg"",""stims/fru_c1_sup4.jpg"",""stims/veh_c3_sub4.jpg""]",broad,vehicles,broad,stims/veh_c3_bas3.jpg,sibu,veh_c3_bas3.jpg,veh_c3_bas3,veh,vehicles,bas,1,within-category,bas,4,confirm,0.75,sibu,0
p973831,0,0,3,1,36,"[""stims/fru_c1_sub1.jpg"",""stims/fru_c1_bas1.jpg"",""stims/fru_c1_bas2.jpg""]",beppo,BEPPO,"[""stims/fru_c1_sup3.jpg"",""stims/sea_c2_sup4.jpg"",""stims/fru_c1_sub4.jpg"",""stims/fru_c1_bas3.jpg""]",intermediate,fruit,intermediate,stims/fru_c1_sub4.jpg,beppo,fru_c1_sub4.jpg,fru_c1_sub4,fru,fruit,sub,1,within-category,sub,5,confirm,0.5,beppo,0
p973831,0,0,3,1,43,"[""stims/sea_c2_sub1.jpg"",""stims/sea_c2_sub2.jpg"",""stims/sea_c2_sub3.jpg""]",kita,STAR FISH,"[""stims/sea_c2_sub4.jpg"",""stims/sea_c2_sup3.jpg"",""stims/veh_c3_sup4.jpg"",""stims/sea_c2_bas3.jpg""]",narrow,sea,narrow,stims/sea_c2_sub4.jpg,kita,sea_c2_sub4.jpg,sea_c2_sub4,sea,sea,sub,1,within-category,sub,6,confirm,0.25,star fish,8
p932760,0,1,3,0,8,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_bas1.jpg"",""stims/ani_c3_bas2.jpg""]",tibble,tibble,"[""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sup4.jpg"",""stims/ani_c3_bas3.jpg""]",broad,animals,intermediate,stims/ani_c3_sup3.jpg,tibble,ani_c3_sup3.jpg,ani_c3_sup3,ani,animals,sup,1,within-category,sup,1,explore,0.5,tibble,0
p932760,0,1,3,0,15,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sup1.jpg"",""stims/veg_c1_sup2.jpg""]",roozer,roozer,"[""stims/veg_c1_sub4.jpg"",""stims/spo_c2_sup4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg""]",hypernym,vegetables,broad,stims/veg_c1_sub4.jpg,roozer,veg_c1_sub4.jpg,veg_c1_sub4,veg,vegetables,sub,1,within-category,sub,2,confirm,0.75,roozer,0
p932760,0,1,3,0,22,"[""stims/spo_c2_sub1.jpg"",""stims/spo_c2_sub2.jpg"",""stims/spo_c2_sub3.jpg""]",kita,kita,"[""stims/ani_c3_sup4.jpg"",""stims/spo_c2_sub4.jpg"",""stims/spo_c2_sup3.jpg"",""stims/spo_c2_bas3.jpg""]",intermediate,sports,narrow,stims/spo_c2_sub4.jpg,kita,spo_c2_sub4.jpg,spo_c2_sub4,spo,sports,sub,1,within-category,sub,3,confirm,0.25,kita,0
p932760,0,1,1,0,29,"[""stims/veh_c3_sub1.jpg""]",sibu,sibu,"[""stims/veh_c3_sub4.jpg"",""stims/veh_c3_sup3.jpg"",""stims/veh_c3_bas3.jpg"",""stims/fru_c1_sup4.jpg""]",narrow,vehicles,narrow,stims/veh_c3_sub4.jpg,sibu,veh_c3_sub4.jpg,veh_c3_sub4,veh,vehicles,sub,1,within-category,sub,4,confirm,0.25,sibu,0
p932760,0,1,1,0,36,"[""stims/fru_c1_sub1.jpg""]",beppo,beppo,"[""stims/sea_c2_sup4.jpg"",""stims/fru_c1_sup3.jpg"",""stims/fru_c1_bas3.jpg"",""stims/fru_c1_sub4.jpg""]",broad,fruit,intermediate,stims/fru_c1_sub4.jpg,beppo,fru_c1_sub4.jpg,fru_c1_sub4,fru,fruit,sub,1,within-category,sub,5,confirm,0.25,beppo,0
p932760,0,1,1,0,43,"[""stims/sea_c2_sub1.jpg""]",guffy,guffy,"[""stims/sea_c2_sub4.jpg"",""stims/veh_c3_sup4.jpg"",""stims/sea_c2_sup3.jpg"",""stims/sea_c2_bas3.jpg""]",broad,sea,broad,stims/sea_c2_sub4.jpg,guffy,sea_c2_sub4.jpg,sea_c2_sub4,sea,sea,sub,1,within-category,sub,6,confirm,0.25,guffy,0
p834655,0,0,1,0,8,"[""stims/ani_c3_sub1.jpg""]",guffy,guffy,"[""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sup4.jpg""]",narrow,animals,narrow,stims/veg_c1_sup4.jpg,not a guffy,veg_c1_sup4.jpg,veg_c1_sup4,veg,vegetables,sup,0,other-category,outside_category,1,explore,0.25,guffy,0
p834655,0,0,1,0,15,"[""stims/veg_c1_sub1.jpg""]",sibu,sibu,"[""stims/veg_c1_bas3.jpg"",""stims/spo_c2_sup4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub4.jpg""]",broad,vegetables,broad,stims/veg_c1_bas3.jpg,sibu,veg_c1_bas3.jpg,veg_c1_bas3,veg,vegetables,bas,1,within-category,bas,2,explore,0.25,sibu,0
p834655,0,0,1,0,22,"[""stims/spo_c2_sub1.jpg""]",roozer,roozer,"[""stims/spo_c2_sup3.jpg"",""stims/ani_c3_sup4.jpg"",""stims/spo_c2_bas3.jpg"",""stims/spo_c2_sub4.jpg""]",broad,sports,intermediate,stims/spo_c2_bas3.jpg,roozer,spo_c2_bas3.jpg,spo_c2_bas3,spo,sports,bas,1,within-category,bas,3,explore,0.25,roozer,0
p834655,0,0,3,0,29,"[""stims/veh_c3_sub1.jpg"",""stims/veh_c3_sub2.jpg"",""stims/veh_c3_sub3.jpg""]",beppo,beppo,"[""stims/veh_c3_sub4.jpg"",""stims/veh_c3_sup3.jpg"",""stims/fru_c1_sup4.jpg"",""stims/veh_c3_bas3.jpg""]",narrow,vehicles,narrow,stims/veh_c3_bas3.jpg,not a beppo,veh_c3_bas3.jpg,veh_c3_bas3,veh,vehicles,bas,1,within-category,bas,4,explore,0.25,beppo,0
p834655,0,0,3,0,36,"[""stims/fru_c1_sub1.jpg"",""stims/fru_c1_sup1.jpg"",""stims/fru_c1_sup2.jpg""]",kita,kita,"[""stims/fru_c1_bas3.jpg"",""stims/sea_c2_sup4.jpg"",""stims/fru_c1_sub4.jpg"",""stims/fru_c1_sup3.jpg""]",hypernym,fruit,broad,stims/fru_c1_sup3.jpg,kita,fru_c1_sup3.jpg,fru_c1_sup3,fru,fruit,sup,1,within-category,sup,5,confirm,0.75,kita,0
p834655,0,0,3,0,43,"[""stims/sea_c2_sub1.jpg"",""stims/sea_c2_bas1.jpg"",""stims/sea_c2_bas2.jpg""]",tibble,tibble,"[""stims/sea_c2_sup3.jpg"",""stims/sea_c2_sub4.jpg"",""stims/veh_c3_sup4.jpg"",""stims/sea_c2_bas3.jpg""]",intermediate,sea,intermediate,stims/sea_c2_sup3.jpg,not a tibble,sea_c2_sup3.jpg,sea_c2_sup3,sea,sea,sup,1,within-category,sup,6,explore,0.5,tibble,0
p953233,1,1,3,0,8,"[""stims/fru_c1_sub1.jpg"",""stims/fru_c1_sub2.jpg"",""stims/fru_c1_sub3.jpg""]",tibble,tibble,"[""stims/fru_c1_sup3.jpg"",""stims/fru_c1_bas3.jpg"",""stims/fru_c1_sub4.jpg"",""stims/sea_c2_sup4.jpg""]",narrow,fruit,narrow,stims/fru_c1_sub4.jpg,tibble,fru_c1_sub4.jpg,fru_c1_sub4,fru,fruit,sub,1,within-category,sub,1,confirm,0.25,tibble,0
p953233,1,1,3,0,15,"[""stims/sea_c2_sub1.jpg"",""stims/sea_c2_sup1.jpg"",""stims/sea_c2_sup2.jpg""]",sibu,sibus,"[""stims/veh_c3_sup4.jpg"",""stims/sea_c2_bas3.jpg"",""stims/sea_c2_sup3.jpg"",""stims/sea_c2_sub4.jpg""]",broad,sea,broad,stims/sea_c2_sup3.jpg,sibu,sea_c2_sup3.jpg,sea_c2_sup3,sea,sea,sup,1,within-category,sup,2,confirm,0.75,sibus,1
p953233,1,1,3,0,22,"[""stims/veh_c3_sub1.jpg"",""stims/veh_c3_bas1.jpg"",""stims/veh_c3_bas2.jpg""]",guffy,guffy,"[""stims/veh_c3_sub4.jpg"",""stims/veh_c3_bas3.jpg"",""stims/fru_c1_sup4.jpg"",""stims/veh_c3_sup3.jpg""]",broad,vehicles,intermediate,stims/veh_c3_bas3.jpg,guffy,veh_c3_bas3.jpg,veh_c3_bas3,veh,vehicles,bas,1,within-category,bas,3,confirm,0.5,guffy,0
p953233,1,1,1,0,29,"[""stims/ani_c3_sub1.jpg""]",roozer,roozer,"[""stims/spo_c2_sup4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg""]",broad,animals,intermediate,stims/ani_c3_sup3.jpg,roozer,ani_c3_sup3.jpg,ani_c3_sup3,ani,animals,sup,1,within-category,sup,4,explore,0.25,roozer,0
p953233,1,1,1,0,36,"[""stims/veg_c1_sub1.jpg""]",beppo,beppo,"[""stims/veg_c1_sup3.jpg"",""stims/ani_c3_sup4.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_bas3.jpg""]",intermediate,vegetables,narrow,stims/veg_c1_sup3.jpg,not a beppo,veg_c1_sup3.jpg,veg_c1_sup3,veg,vegetables,sup,1,within-category,sup,5,explore,0.25,beppo,0
p953233,1,1,1,0,43,"[""stims/spo_c2_sub1.jpg""]",kita,kita,"[""stims/spo_c2_sup3.jpg"",""stims/spo_c2_bas3.jpg"",""stims/veg_c1_sup4.jpg"",""stims/spo_c2_sub4.jpg""]",hypernym,sports,broad,stims/spo_c2_bas3.jpg,kita,spo_c2_bas3.jpg,spo_c2_bas3,spo,sports,bas,1,within-category,bas,6,explore,0.25,kita,0
p628818,1,1,3,0,8,"[""stims/veh_c3_sub1.jpg"",""stims/veh_c3_sup1.jpg"",""stims/veh_c3_sup2.jpg""]",guffy,Guffy,"[""stims/sea_c2_sup4.jpg"",""stims/veh_c3_bas3.jpg"",""stims/veh_c3_sup3.jpg"",""stims/veh_c3_sub4.jpg""]",broad,vehicles,broad,stims/sea_c2_sup4.jpg,not a guffy,sea_c2_sup4.jpg,sea_c2_sup4,sea,sea,sup,0,other-category,outside_category,1,explore,0.75,guffy,0
p628818,1,1,3,0,15,"[""stims/fru_c1_sub1.jpg"",""stims/fru_c1_bas1.jpg"",""stims/fru_c1_bas2.jpg""]",roozer,Roozer,"[""stims/fru_c1_sup3.jpg"",""stims/veh_c3_sup4.jpg"",""stims/fru_c1_sub4.jpg"",""stims/fru_c1_bas3.jpg""]",broad,fruit,intermediate,stims/fru_c1_bas3.jpg,roozer,fru_c1_bas3.jpg,fru_c1_bas3,fru,fruit,bas,1,within-category,bas,2,confirm,0.5,roozer,0
